raw_row_number,date,time,location,lat,lng,geocode_source,beat,district,subject_age,subject_race,subject_sex,officer_id_hash,officer_age,officer_race,officer_sex,officer_years_of_service,unit,type,violation,arrest_made,citation_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,contraband_alcohol,contraband_other,search_conducted,search_person,search_vehicle,vehicle_make,vehicle_model,raw_race,raw_driver_race
407707,2014-03-07,09:00:00,3610 CHICAGO AVE W,41.8956605,-87.716866,GM,,,,,male,,,hispanic,male,18,,vehicular,DRIVING WHILE USING CELLULAR PHONE PROHIBITED,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
339728,2015-08-03,19:00:00,1005 RIDGEWAY AVE N,41.8992792,-87.7200955,GM,,,,,male,,,white,male,6,,vehicular,IVC - FAIL TO REDUCE SPEED,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
1556256,2019-04-29,02:38:00,11XX N SPRINGFIELD AVE,41.9025740320001,-87.723838214,SU,1112,11,49,hispanic,male,,,,,,11,vehicular,DRIVING RVK/SUSP DUI/SSS 2ND,,,,,,,FALSE,,FALSE,FALSE,FALSE,MERCEDES-BENZ,UNKNOWN,HISPANIC,
1351223,2019-01-04,13:25:00,58XX S WENTWORTH AVE,41.783440558,-87.630198251,SU,232,2,31,black,male,,,,,,2,vehicular,SAFETY BELTS,,,,,,,FALSE,,FALSE,FALSE,FALSE,PONTIAC,PONTIAC,BLACK,
690084,2012-03-10,17:00:00,2643 77TH ST E,41.7554237,-87.5596869,GM,,,,,male,,,hispanic,male,2,,vehicular,BROKEN OR CRACKED GLASS EXCEEDS SIX INCHES,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
1197017,2018-09-19,20:20:00,3XX S KEELER AVE,41.8805998330001,-87.7305092299999,SU,1132,11,31,hispanic,male,,,,,,11,vehicular,DESTRUCTIVE SUBSTANCES ON PUBLIC WAY,,,,,,,FALSE,,FALSE,FALSE,FALSE,CHEVROLET/IMPALA,CHEVROLET/IMPALA,HISPANIC,
1675401,2019-07-05,22:52:00,42XX S SACRAMENTO AVE,41.8801495400001,-87.70122495,SU,921,9,57,hispanic,male,,,,,,211,vehicular,"LIGHT, TAIL LIGHTS REQUIRED",,,,,,,FALSE,,FALSE,FALSE,FALSE,JEEP,JEEP/GRAND CHEROKEE,HISPANIC,
452322,2012-01-03,14:00:00,430 MICHIGAN AVE N,41.8903597,-87.6247745,GM,,,,,male,,,white,male,6,,vehicular,LICENSE SUPENSION AND REVOCATION -CHAUFFEUR LICENSE,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
1220280,2018-10-06,16:45:00,80XX S ASHLAND AVE,41.8802740950001,-87.66684786,SU,611,6,73,black,female,,,,,,6,vehicular,"LIGHT, TAIL LIGHTS REQUIRED",,,,,,,FALSE,,FALSE,FALSE,FALSE,HYUNDAI,SONATA,BLACK,
37544,2012-10-27,23:00:00,6212 CENTRAL AVE S,41.7794081600001,-87.761809719,SU,,,23,hispanic,male,4186f0fcca,40,white,male,15,,vehicular,DISOBEY POLICE OFFICER ORDER,TRUE,,arrest,,,,FALSE,,FALSE,FALSE,FALSE,,,HISPANIC,
